VIN,Year,make-id,model-id,lat,lng,accuracy,dealership-id,log_entry_dt,last_scan_dt
WP1AA2A52LLB06314,2020,49,719,33.015054,-96.826369,3,429,"2020-05-20 18:25:44","2020-05-20 18:25:44"
WP1AA2A53LLB07911,2020,49,719,33.015036,-96.826392,3,429,"2020-05-20 18:25:39","2020-05-20 18:25:38"
WP1AF2A57LLB60371,2020,49,719,33.015022,-96.826392,3,429,"2020-05-20 18:25:33","2020-05-20 18:25:32"
WP1AF2A57LLB60032,2020,49,719,33.014996,-96.826396,3,429,"2020-05-20 18:25:32","2020-05-20 18:25:27"
WP1AA2A52HLB81411,2017,49,719,33.015217,-96.826222,14,429,"2020-05-20 18:24:36","2020-05-20 18:24:36"
WP0AA2A77HL101913,2017,49,715,33.015096,-96.826070,6,429,"2020-05-20 18:23:45","2020-05-20 18:23:44"
WP0AC2A83GK197238,2016,49,723,33.015097,-96.826071,4,429,"2020-05-20 18:23:22","2020-05-20 18:23:21"
WP0AE2A77KL124555,2019,49,715,33.015101,-96.826077,4,429,"2020-05-20 18:23:05","2020-05-20 18:23:04"
WP1AF2A5XFLB98004,2015,49,719,33.014834,-96.825900,3,429,"2020-05-20 18:18:27","2020-05-20 18:18:27"
WP1AA2AY4LDA07076,2020,49,722,33.015325,-96.825600,3,429,"2020-05-20 18:07:43","2020-05-20 18:07:42"
WP1AA2AY3LDA07179,2020,49,722,33.015386,-96.825603,3,429,"2020-05-20 18:07:24","2020-05-20 18:07:23"
WP1AA2AY5LDA05949,2020,49,722,33.015463,-96.825606,3,429,"2020-05-20 18:07:05","2020-05-20 18:07:04"
WP1AB2AYXLDA28592,2020,49,722,33.015494,-96.825597,3,429,"2020-05-20 18:06:58","2020-05-20 18:06:57"
WP1AA2AY3LDA05996,2020,49,722,33.015533,-96.825617,3,429,"2020-05-20 18:06:43","2020-05-20 18:06:43"
WP1AB2AY1LDA28058,2020,49,722,33.015551,-96.825619,3,429,"2020-05-20 18:06:36","2020-05-20 18:06:35"
WP1AB2AYXLDA27684,2020,49,722,33.015570,-96.825618,3,429,"2020-05-20 18:06:27","2020-05-20 18:06:27"
WP1AB2AY3LDA28286,2020,49,722,33.015615,-96.825599,3,429,"2020-05-20 18:06:06","2020-05-20 18:06:05"
WP1AA2AY2LDA05147,2020,49,722,33.015638,-96.825755,3,429,"2020-05-20 18:01:27","2020-05-20 18:01:26"
WP1AA2AY2LDA06024,2020,49,722,33.015623,-96.825617,3,429,"2020-05-20 17:59:00","2020-05-20 18:06:16"
WP1AA2AY8LDA07470,2020,49,722,33.015691,-96.825621,3,429,"2020-05-20 17:58:38","2020-05-20 17:58:37"
WP1AA2AY3LDA07053,2020,49,722,33.015705,-96.825611,3,429,"2020-05-20 17:58:28","2020-05-20 17:58:28"
WP1AA2AY1LDA05978,2020,49,722,33.015736,-96.825621,3,429,"2020-05-20 17:58:20","2020-05-20 17:58:19"
WP1AA2AY8LDA07114,2020,49,722,33.015768,-96.825618,3,429,"2020-05-20 17:58:12","2020-05-20 17:58:11"
WP1AA2A55LLB08803,2020,49,719,33.015789,-96.825603,3,429,"2020-05-20 17:58:04","2020-05-20 17:58:03"
WP1AA2A50LLB06277,2020,49,719,33.015834,-96.825611,3,429,"2020-05-20 17:57:52","2020-05-20 17:57:51"
WP1AB2A56LLB30063,2020,49,719,33.015854,-96.825607,3,429,"2020-05-20 17:57:44","2020-05-20 17:57:43"
WP1AA2A52LLB08645,2020,49,719,33.015876,-96.825615,3,429,"2020-05-20 17:57:37","2020-05-20 17:57:37"
WP1AA2A59LLB08755,2020,49,719,33.015897,-96.825615,3,429,"2020-05-20 17:57:31","2020-05-20 17:57:30"
WP1AA2A54LLB08680,2020,49,719,33.015933,-96.825620,3,429,"2020-05-20 17:57:25","2020-05-20 17:57:24"
WP1AA2A53LLB08668,2020,49,719,33.015968,-96.825602,3,429,"2020-05-20 17:57:18","2020-05-20 17:57:17"
WP1AA2A55LLB07618,2020,49,719,33.015965,-96.825606,3,429,"2020-05-20 17:57:14","2020-05-20 17:57:14"
WP1AF2AY8KDA80757,2019,49,722,33.016107,-96.826194,3,429,"2020-05-20 17:55:48","2020-05-20 17:55:48"
WP1AA2A25GKA09710,2016,49,722,33.016106,-96.826237,3,429,"2020-05-20 17:55:41","2020-05-20 17:55:41"
